,Current,Next,Q value,Data #'s
0,episode:500,-,-,-
1,0.0,1.0,509.44133653778886,0.0
2,0.0,2.0,649.334754512894,0.0
3,0.0,3.0,638.0203647792803,0.0
4,0.0,4.0,624.2888856043355,0.0
5,0.0,5.0,640.716278258567,0.0
6,0.0,6.0,642.5587760896323,0.0
7,1.0,0.0,0.0,0.0
8,1.0,2.0,113.12233738168251,0.0
9,1.0,3.0,121.39989076617533,0.0
10,1.0,4.0,89.76808316273888,0.0
11,1.0,5.0,108.89076128258978,0.0
12,1.0,6.0,76.32253587814732,0.0
13,2.0,0.0,0.0,0.0
14,2.0,1.0,138.17279555586268,0.0
15,2.0,3.0,165.92829131529024,0.0
16,2.0,4.0,192.76232988394068,0.0
17,2.0,5.0,151.3386020797988,0.0
18,2.0,6.0,185.2792612129949,0.0
19,3.0,0.0,0.0,0.0
20,3.0,1.0,138.9986589762456,0.0
21,3.0,2.0,165.9388080313298,0.0
22,3.0,4.0,178.5521695179757,0.0
23,3.0,5.0,186.1673228584075,0.0
24,3.0,6.0,183.7773364168956,0.0
25,4.0,0.0,0.0,0.0
26,4.0,1.0,129.4026971031383,0.0
27,4.0,2.0,184.76276136606762,0.0
28,4.0,3.0,142.0493936537951,0.0
29,4.0,5.0,164.37334789706023,0.0
30,4.0,6.0,175.56096910285785,0.0
31,5.0,0.0,0.0,0.0
32,5.0,1.0,135.7265206724037,0.0
33,5.0,2.0,167.35094154267043,0.0
34,5.0,3.0,178.53614758535926,0.0
35,5.0,4.0,187.6222484935381,0.0
36,5.0,6.0,193.5979889524844,0.0
37,6.0,0.0,0.0,0.0
38,6.0,1.0,90.90244545835971,0.0
39,6.0,2.0,180.01626135666703,0.0
40,6.0,3.0,159.0387566194545,0.0
41,6.0,4.0,146.61536891901142,0.0
42,6.0,5.0,179.93664198037771,0.0
